Date,Open,High,Low,Close,Volume,SMA,EMA,RSI,STI,PROC,Target
2021-07-13,1808.0999755859375,1812.0,1800.5999755859375,1809.4000244140625,78,1787.550005231585,1793.1386969535695,65.59261678501443,86.29522253005337,0.026435202118876955,1
2021-07-14,1813.0999755859375,1829.0,1813.0999755859375,1824.300048828125,707,1790.550005231585,1797.2935438701768,70.62867379902296,93.88823188589842,0.03021233257555256,1
2021-07-15,1831.5999755859375,1833.0,1823.4000244140625,1828.4000244140625,99,1794.3214372907366,1801.4410746093617,76.61294093615179,94.31399975555766,0.02956247495819575,0
2021-07-16,1830.0999755859375,1831.4000244140625,1814.5,1814.5,78,1797.0285818917412,1803.1822646614469,66.90456408039437,77.13226895295692,0.017895223185772302,0
2021-07-19,1803.300048828125,1813.4000244140625,1803.300048828125,1808.699951171875,33,1799.1071515764509,1803.9179561961705,62.66317206385901,69.96286589018503,0.008475021562238672,1
2021-07-20,1812.9000244140625,1824.0,1810.9000244140625,1810.9000244140625,128,1802.5428641183037,1804.8488986252228,73.9780127765898,70.05425343632665,0.005217887545968747,0
2021-07-21,1807.0,1807.0,1800.0,1802.9000244140625,135,1804.8357195172991,1804.5890487304014,66.00195458213202,53.11526716686378,0.0018337679889390834,1
2021-07-22,1793.5999755859375,1805.0,1793.5999755859375,1805.0,2,1806.9142892020088,1804.6438422330148,64.95371247410871,48.81165448937965,-0.002762430939226568,0
2021-07-23,1800.0,1801.4000244140625,1800.0,1801.4000244140625,1,1808.2571498325892,1804.2113331904877,59.97877380495744,31.749584750454794,-0.002270825580690916,0
2021-07-26,1802.5,1802.5,1797.199951171875,1798.699951171875,17,1808.6285749162946,1803.4764822546726,53.0232188430606,12.94409245116416,-0.005913602905831983,1
2021-07-27,1803.699951171875,1803.699951171875,1799.5,1799.5,1,1808.4857177734375,1802.9462846207164,48.73096918510624,14.974671974966306,-0.013594281732358549,0
2021-07-28,1799.5,1799.5,1799.5,1799.5,209783,1808.4785766601562,1802.4867800046209,49.934996595059744,14.974671974966306,-0.015806182470011643,1
2021-07-29,1806.5999755859375,1832.5999755859375,1806.0999755859375,1831.199951171875,30496,1809.9928588867188,1806.3152028269214,60.794251021808535,95.43135098291327,0.009203610455704059,0
2021-07-30,1828.0,1830.5,1808.9000244140625,1812.5999755859375,3100,1810.5,1807.1531725281236,53.16115974229398,48.223320372407166,0.0021562583730572182,1
2021-08-02,1812.4000244140625,1818.699951171875,1804.800048828125,1818.0999755859375,1334,1811.1214250837054,1808.6127462691654,53.819113249809774,62.182702585472406,0.003975896556854153,0
2021-08-03,1812.300048828125,1813.5,1806.0,1810.0999755859375,3341,1810.107134137835,1808.8110435114017,43.364459326104196,41.8781466391957,0.003993538784389905,1
2021-08-04,1809.300048828125,1831.300048828125,1806.300048828125,1810.5,2860,1808.8285609654017,1809.0362377098816,41.33591732792901,43.33339593349359,0.0030470914127422866,0
2021-08-05,1810.800048828125,1813.699951171875,1796.0,1805.0999755859375,588,1808.1571306501116,1808.5114027600223,45.042190153785135,29.48717948717949,0.0020539308991507355,0
2021-08-06,1799.800048828125,1800.0999755859375,1758.4000244140625,1760.0,859,1804.6785627092634,1802.0432157253529,31.841940452306133,2.156302747735446,-0.02151551243811478,0
2021-08-09,1753.5,1753.800048828125,1692.5999755859375,1723.4000244140625,1621,1798.4285627092634,1791.5574568838476,24.035608308605347,22.000034877232146,-0.04228951130088221,1
2021-08-10,1728.5999755859375,1735.199951171875,1720.0999755859375,1728.800048828125,1363,1793.135707310268,1783.189802476418,27.667280083999657,25.85719517299107,-0.03928866416886634,1
2021-08-11,1727.300048828125,1752.199951171875,1727.300048828125,1750.4000244140625,542,1789.2357090541295,1778.8178320681038,35.275089429331246,41.28574916294643,-0.044124032826729054,0
2021-08-12,1749.699951171875,1752.4000244140625,1745.5,1749.0,739,1785.4928501674108,1774.84212112569,35.69868901067781,40.28573172433036,-0.03508770630176039,1
